本科二批,854,吉林农业科技学院,01,国际经济与贸易,非定向,5,368,5,4,4200,九站校区,无
本科二批,680,山西农业大学,01,农学,非定向,5,389,5,4,4500,无,含农学、农学（功能农业方向）、种子科学与工程专业
本科二批,644,衡水学院,01,汉语言文学（师范类）,非定向,2,393,2,4,5060,校本部,无
本科二批,652,沧州师范学院,01,汉语言文学（师范类）,非定向,2,509,2,4,4600,校本部,无
本科二批,259,北京服装学院,01,服装设计与工程,非定向,2,469,2,4,4600,无,第一学年北校区、后三学年根据各校区学生宿舍资源情况调配安排
本科二批,845,惠州学院,01,服装设计与工程,非定向,2,398,2,4,5190,校本部,不招色盲
本科二批,976,海南热带海洋学院,01,国际事务与国际关系,非定向,2,491,3,4,4600,三亚校区,无
本科二批,728,山西中医药大学,01,中医学,非定向,5,528,5,5,5488,校本部,无
本科二批,416,北京石油化工学院,01,化学工程与工艺,非定向,2,446,3,4,4600,校本部,无
本科二批,523,北京农学院,01,生物工程,非定向,1,462,2,4,4600,校本部,色盲、色弱限报
本科二批,J53,安阳师范学院,01,中国语言文学类（师范类）,非定向,2,489,3,4,4400,弦歌大道校区,包含专业：汉语言文学、汉语国际教育
本科二批,596,洛阳理工学院,01,无机非金属材料工程,非定向,2,387,1,4,5000,王城校区,无
本科二批,116,北华航天工业学院,01,经济学,非定向,1,508,1,4,4600,校本部,无
本科二批,607,西安文理学院,01,汉语言文学,非定向,2,533,2,4,3500,高新校区,无
本科二批,101,太原科技大学,01,机械设计制造及其自动化,非定向,12,428,12,4,5500,主校区,无
本科二批,466,东华理工大学,01,资源勘查工程,非定向,2,425,2,4,4940,南昌校区,无
本科二批,M74,平顶山学院,01,汉语言文学（师范类）,非定向,4,501,4,4,4400,湖滨校区,无
本科二批,791,广西民族大学,01,政治学类,非定向,1,508,2,4,5050,相思湖校区,包含专业：政治学与行政学、国际事务与国际关系
本科二批,840,吉林农业大学,01,植物生产类,非定向,6,407,6,4,3850,校本部,包含专业：植物保护、菌物科学与工程
本科二批,041,哈尔滨金融学院,01,金融学,非定向,2,456,3,4,5000,校本部,无
本科二批,H49,山西农业大学信息学院（独立学院）,01,国际经济与贸易,非定向,1,336,0,4,14980,无,无
本科二批,K28,四川外国语大学重庆南方翻译学院（独立学院）,01,英语,非定向,4,464,4,4,15000,南方翻译学院,无
本科二批,342,闽南理工学院（民办）,01,机械设计制造及其自动化,非定向,1,334,1,4,23000,宝盖校区,无
本科二批,208,广东金融学院,01,金融学,非定向,1,533,1,4,5050,无,第一学年肇庆校区，第二至四学年校本部
本科二批,927,海南师范大学,01,教育学类（师范类）,非定向,5,527,4,4,4180,桂林洋校区,包含专业：教育学、学前教育、特殊教育
本科二批,208,广东金融学院,01,金融学,非定向,1,473,1,4,5050,无,第一学年肇庆校区，第二至四学年校本部
本科二批,A01,黑龙江财经学院（民办）,01,经济学,非定向,2,438,1,4,21000,无,无
本科二批,N80,石河子大学科技学院（独立学院）,01,汉语言文学（师范类）,非定向,10,448,11,4,9000,五家渠校区,无
