你好，李焕英,喜剧,"541,330",中国,2021-02-12
唐人街探案3,喜剧,"451,505",中国,2021-02-12
速度与激情9,动作,"137,369",美国,2021-05-21
哥斯拉大战金刚,动作,"123,231",美国,2021-03-26
送你一朵小红花,剧情,"119,592",中国,2020-12-31
悬崖之上,剧情,"116,576",中国,2021-04-30
刺杀小说家,奇幻,"103,521",中国,2021-02-12
我的姐姐,剧情,"86,018",中国,2021-04-02
你的婚礼,爱情,"78,917",中国,2021-04-30
人潮汹涌,剧情,"76,248",中国,2021-02-12
拆弹专家2,动作,"71,250",中国,2020-12-24
温暖的抱抱,喜剧,"66,954",中国,2020-12-31
熊出没·狂野大陆,动画,"55,989",中国,2021-02-12
新神榜：哪吒重生,动画,"45,648",中国,2021-02-12
扫黑·决战,剧情,"40,523",中国,2021-05-01
阿凡达,科幻/动作,"37,556",美国,2010-01-04
我要我们在一起,爱情,"32,284",中国,2021-05-20
心灵奇旅,动画,"29,798",美国,2020-12-25
侍神令,奇幻,"27,409",中国,2021-02-12
哆啦A梦：伴我同行2,动画,"26,279",日本,2021-05-28
追虎擒龙,动作,"24,362",中国/中国香港,2021-05-01
大红包,喜剧,"23,533",中国,2021-01-22
寂静之地2,惊悚,"22,518",美国,2021-05-28
名侦探柯南：绯色的子弹,动画,"21,506",日本,2021-04-17
秘密访客,剧情,"21,487",中国,2021-05-01
