八佰,战争,"310,232",中国,2020-08-21
我和我的家乡,喜剧,"282,883",中国,2020-10-01
姜子牙,动画,"160,298",中国,2020-10-01
金刚川,剧情/战争,"112,289",中国,2020-10-23
夺冠,剧情,"83,567",中国,2020-09-25
拆弹专家2,动作,"60,229",中国,2020-12-24
除暴,动作,"53,761",中国,2020-11-20
宠爱,剧情,"51,060",中国,2019-12-31
我在时间尽头等你,爱情,"50,433",中国,2020-08-25
误杀,剧情,"50,227",中国,2019-12-13
信条,科幻,"45,507",美国/英国,2020-09-04
紧急救援,剧情,"43,861",中国,2020-12-18
叶问4：完结篇,动作,"41,914",中国/中国香港,2019-12-20
沐浴之王,喜剧,"40,255",中国,2020-12-11
晴雅集,动作,"36,892",中国,2020-12-25
疯狂原始人2,动画,"33,803",美国,2020-11-27
如果声音不记得,爱情,"33,498",中国,2020-12-04
一点就到家,剧情,"31,216",中国/中国香港,2020-10-04
急先锋,动作,"29,381",中国,2020-09-30
花木兰,剧情,"27,733",中国/美国,2020-09-11
送你一朵小红花,剧情,"23,660",中国,2020-12-31
温暖的抱抱,喜剧,"19,502",中国,2020-12-31
哈利·波特与魔法石,魔幻/动作,"19,167",英国,2002-01-31
赤狐书生,奇幻,"18,566",中国,2020-12-04
神奇女侠1984,动作,"16,218",美国,2020-12-18
