品名,最低价,平均价,最高价,规格,单位,发布日期
土豆,0.40,0.60,0.80,\冀云,斤,2021-05-22
新土豆（黄心）,0.70,0.90,1.10,鲁,斤,2021-05-22
黄葱头,0.80,0.95,1.10,\蒙甘,斤,2021-05-22
红葱头,1.10,1.20,1.30,老/新,斤,2021-05-22
山药,1.80,2.25,2.70,脆\麻新,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
铁棍山药,5.00,5.50,6.00,普通,斤,2021-05-22
莲藕,2.50,3.50,4.50,\津,斤,2021-05-22
红薯,1.50,1.65,1.80,\冀新,斤,2021-05-22
红薯,1.80,2.00,2.20,西瓜红粤新,斤,2021-05-22
茭白,2.50,3.25,4.00,京\浙,斤,2021-05-22
凉薯,2.00,2.15,2.30,普通,斤,2021-05-22
荸荠,3.00,3.40,3.80,皖,斤,2021-05-22
芋头,1.70,1.85,2.00,\鲁,斤,2021-05-22
苇叶,3.40,3.45,3.50,普通,斤,2021-05-22
姜,3.00,4.00,5.00,姜头\整,斤,2021-05-22
大蒜,2.50,2.75,3.00,普通,斤,2021-05-22
新蒜,1.60,1.90,2.20,普通,斤,2021-05-22
蒜米,3.20,3.50,3.80,普通,斤,2021-05-22
大葱,1.50,2.50,3.50,鲁、冀、闽,斤,2021-05-22
小葱,1.00,1.25,1.50,普通,斤,2021-05-22
蒜苗,1.50,3.00,4.50,苏鲁,斤,2021-05-22
蒜黄,4.00,4.50,5.00,\冀,斤,2021-05-22
青蒜,1.60,2.00,2.40,冀,斤,2021-05-22
平菇,2.00,2.75,3.50,\小叶,斤,2021-05-22
香菇,3.00,3.50,4.00,普通,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
白玉菇,3.00,3.50,4.00,普通,斤,2021-05-22
口蘑,7.00,7.50,8.00,普通,斤,2021-05-22
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-05-22
金针菇,1.50,2.00,2.50,普通,斤,2021-05-22
火龙果,4.00,5.50,7.00,其他类,斤,2021-05-22
木瓜,3.00,3.25,3.50,其他类,斤,2021-05-22
柿饼,6.00,7.00,8.00,其他类,斤,2021-05-22
柠檬,3.50,3.75,4.00,其他类,斤,2021-05-22
黑枣,5.00,5.50,6.00,其他类,斤,2021-05-22
山楂,4.00,5.00,6.00,其他类,斤,2021-05-22
姑娘果（灯笼果）,10.00,15.00,20.00,其他类,斤,2021-05-22
鸭梨,1.20,1.35,1.50,梨类,斤,2021-05-22
雪花梨,1.40,1.50,1.60,梨类,斤,2021-05-22
皇冠梨（标箱）,2.50,2.75,3.00,梨类,斤,2021-05-22
丰水梨,2.50,2.75,3.00,梨类,斤,2021-05-22
酥梨,1.50,1.65,1.80,梨类,斤,2021-05-22
库尔勒香梨,3.00,3.75,4.50,梨类,斤,2021-05-22
红香酥梨系列,1.50,1.75,2.00,梨类,斤,2021-05-22
红啤梨,3.00,3.25,3.50,梨类,斤,2021-05-22
蜜梨,2.00,2.25,2.50,梨类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
耙耙柑、丑橘,2.00,2.50,3.00,柑橘类,斤,2021-05-22
鄂、湘、川脐橙,1.20,1.80,2.40,柑橘类,斤,2021-05-22
血橙/二月红/中华红,2.00,2.50,3.00,柑橘类,斤,2021-05-22
沃柑,3.50,4.00,4.50,柑橘类,斤,2021-05-22
金桔,5.00,6.00,7.00,柑橘类,斤,2021-05-22
伦晚,1.80,2.40,3.00,柑橘类,斤,2021-05-22
油桃,4.00,6.50,9.00,桃李杏类,斤,2021-05-22
蟠桃,10.00,12.50,15.00,桃李杏类,斤,2021-05-22
水蜜桃,10.00,12.00,14.00,桃李杏类,斤,2021-05-22
春雪,8.00,9.00,10.00,桃李杏类,斤,2021-05-22
黄油桃,4.00,6.00,8.00,桃李杏类,斤,2021-05-22
黄毛桃,10.00,11.50,13.00,桃李杏类,斤,2021-05-22
猕猴桃（徐香翠香）,2.50,3.00,3.50,桃李杏类,斤,2021-05-22
猕猴桃（海沃德）,2.00,2.25,2.50,桃李杏类,斤,2021-05-22
李子,8.00,10.00,12.00,桃李杏类,斤,2021-05-22
金太阳,2.50,4.75,7.00,桃李杏类,斤,2021-05-22
丰源红,2.90,3.45,4.00,桃李杏类,斤,2021-05-22
凯特杏、白杏,10.00,10.50,11.00,桃李杏类,斤,2021-05-22
无籽小号-大号,1.80,1.90,2.00,西瓜类,斤,2021-05-22
麒麟、甜蜜蜜,2.40,2.60,2.80,西瓜类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
黑美人,1.60,1.80,2.00,西瓜类,斤,2021-05-22
特小风,2.00,2.25,2.50,西瓜类,斤,2021-05-22
L600吊秧瓜,2.50,2.90,3.30,西瓜类,斤,2021-05-22
甜王,1.40,1.60,1.80,西瓜类,斤,2021-05-22
蜜童,3.00,3.25,3.50,西瓜类,斤,2021-05-22
墨童西瓜,3.00,3.25,3.50,西瓜类,斤,2021-05-22
绿宝（p2）,1.80,1.90,2.00,西瓜类,斤,2021-05-22
国产香蕉,2.40,2.80,3.20,香蕉类,斤,2021-05-22
南美、菲律宾香蕉,2.70,3.10,3.50,香蕉类,斤,2021-05-22
泰国香蕉（帝王蕉）,8.00,8.50,9.00,香蕉类,斤,2021-05-22
晓蜜25号,2.00,2.25,2.50,甜瓜类,斤,2021-05-22
黄金瓜／金蜜,2.20,2.40,2.60,甜瓜类,斤,2021-05-22
玉菇,2.00,2.25,2.50,甜瓜类,斤,2021-05-22
网纹,3.00,3.25,3.50,甜瓜类,斤,2021-05-22
长香玉,1.60,1.70,1.80,甜瓜类,斤,2021-05-22
西洲蜜,2.50,2.75,3.00,甜瓜类,斤,2021-05-22
24/白糖罐,2.50,2.75,3.00,甜瓜类,斤,2021-05-22
羊角蜜,2.30,4.15,6.00,甜瓜类,斤,2021-05-22
花蕾甜瓜,3.00,4.00,5.00,甜瓜类,斤,2021-05-22
久红瑞,2.00,2.15,2.30,甜瓜类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
绿宝甜瓜,4.00,5.00,6.00,甜瓜类,斤,2021-05-22
博阳（系列）,2.50,3.50,4.50,甜瓜类,斤,2021-05-22
景甜,2.50,3.25,4.00,甜瓜类,斤,2021-05-22
208甜瓜,2.00,2.15,2.30,甜瓜类,斤,2021-05-22
富士（纸袋Φ70-84）,1.80,2.30,2.80,苹果类,斤,2021-05-22
富士（纸+膜袋）,1.60,1.80,2.00,苹果类,斤,2021-05-22
富士（纸袋Φ85以上）,2.50,3.00,3.50,苹果类,斤,2021-05-22
黄元帅,1.50,1.75,2.00,苹果类,斤,2021-05-22
花牛(Φ70-85),1.40,2.00,2.60,苹果类,斤,2021-05-22
新疆阿克苏（冰糖心）,3.00,3.50,4.00,苹果类,斤,2021-05-22
国光苹果,1.00,1.50,2.00,苹果类,斤,2021-05-22
辽宁寒富苹果,1.50,1.75,2.00,苹果类,斤,2021-05-22
巨峰葡萄,6.00,9.00,12.00,葡萄类,斤,2021-05-22
红提葡萄,8.00,10.00,12.00,葡萄类,斤,2021-05-22
玫瑰香葡萄,10.00,12.00,14.00,葡萄类,斤,2021-05-22
克伦生,6.00,8.00,10.00,葡萄类,斤,2021-05-22
黑提葡萄、夏黑,8.00,9.00,10.00,葡萄类,斤,2021-05-22
蓝莓葡萄,8.00,9.00,10.00,葡萄类,斤,2021-05-22
乒乓球葡萄,10.00,11.00,12.00,葡萄类,斤,2021-05-22
维多利亚葡萄,8.00,8.50,9.00,葡萄类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
郁金香,10.00,11.00,12.00,葡萄类,斤,2021-05-22
台农小芒果,2.50,3.25,4.00,芒果类,斤,2021-05-22
台农大芒果,3.00,4.00,5.00,芒果类,斤,2021-05-22
红金龙,4.00,5.00,6.00,芒果类,斤,2021-05-22
高乐密,2.50,3.75,5.00,芒果类,斤,2021-05-22
青皮芒果,2.50,3.25,4.00,芒果类,斤,2021-05-22
水仙芒果,3.50,4.75,6.00,芒果类,斤,2021-05-22
肯特\新世纪\澳芒,5.00,6.50,8.00,芒果类,斤,2021-05-22
妃子笑,6.00,7.50,9.00,荔枝类,斤,2021-05-22
荔枝王,33.00,34.50,36.00,荔枝类,斤,2021-05-22
红灯,17.00,17.50,18.00,樱桃类,斤,2021-05-22
水晶,25.00,27.50,30.00,樱桃类,斤,2021-05-22
佳红,70.00,105.00,140.00,樱桃类,斤,2021-05-22
美早,20.00,35.00,50.00,樱桃类,斤,2021-05-22
布鲁克斯,15.00,17.50,20.00,樱桃类,斤,2021-05-22
先锋樱桃,15.00,18.50,22.00,樱桃类,斤,2021-05-22
沙蜜托,20.00,22.50,25.00,樱桃类,斤,2021-05-22
椰青/个,6.00,6.25,6.50,其他类,斤,2021-05-22
箱装菠萝（上六下六）,1.40,1.60,1.80,其他类,斤,2021-05-22
国产凤梨,2.00,2.40,2.80,其他类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
香水菠萝,3.00,3.25,3.50,其他类,斤,2021-05-22
百香果,12.00,12.50,13.00,其他类,斤,2021-05-22
桑葚,3.50,4.00,4.50,其他类,斤,2021-05-22
白草莓（日本淡雪）,12.00,14.00,16.00,其他类,斤,2021-05-22
红颜九九草莓,8.00,9.00,10.00,其他类,斤,2021-05-22
杨梅,10.00,11.00,12.00,其他类,斤,2021-05-22
甜宝(奶油)草莓,4.00,5.50,7.00,其他类,斤,2021-05-22
白条猪（瘦）,11.50,11.50,11.50,猪肉类,斤,2021-05-22
白条猪（肥）,9.50,9.50,9.50,猪肉类,斤,2021-05-22
前臀尖（瘦）,10.00,10.50,11.00,猪肉类,斤,2021-05-22
前臀尖（肥）,9.00,9.50,10.00,猪肉类,斤,2021-05-22
后臀尖（瘦）,10.00,10.50,11.00,猪肉类,斤,2021-05-22
后臀尖（肥）,9.00,9.50,10.00,猪肉类,斤,2021-05-22
五花肉（瘦）,14.00,15.00,16.00,猪肉类,斤,2021-05-22
五花肉（肥）,12.00,13.00,14.00,猪肉类,斤,2021-05-22
纯通脊,12.00,13.00,14.00,猪肉类,斤,2021-05-22
通脊,10.00,11.00,12.00,猪肉类,斤,2021-05-22
纯瘦肉,11.00,11.50,12.00,猪肉类,斤,2021-05-22
前肘,11.00,11.50,12.00,猪肉类,斤,2021-05-22
后肘,9.50,10.25,11.00,猪肉类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
猪尾巴,43.00,44.00,45.00,猪肉类,斤,2021-05-22
猪蹄,19.00,19.00,19.00,猪肉类,斤,2021-05-22
纯排骨,21.00,22.50,24.00,猪肉类,斤,2021-05-22
纯腔骨,9.00,10.50,12.00,猪肉类,斤,2021-05-22
腔排骨,15.00,16.00,17.00,猪肉类,斤,2021-05-22
棒骨,10.00,10.50,11.00,猪肉类,斤,2021-05-22
猪头,13.00,13.50,14.00,猪肉类,斤,2021-05-22
猪耳,26.00,26.00,26.00,猪肉类,斤,2021-05-22
猪肚,19.00,19.50,20.00,猪肉类,斤,2021-05-22
猪板油,12.00,12.50,13.00,猪肉类,斤,2021-05-22
肥膘肉,7.00,8.00,9.00,猪肉类,斤,2021-05-22
猪腰子,21.00,21.50,22.00,猪肉类,斤,2021-05-22
猪心,10.00,10.00,10.00,猪肉类,斤,2021-05-22
猪肝,9.50,9.75,10.00,猪肉类,斤,2021-05-22
猪皮,3.00,4.50,6.00,猪肉类,斤,2021-05-22
猪肠,22.00,22.00,22.00,猪肉类,斤,2021-05-22
整牛,34.25,34.25,34.25,牛肉类,斤,2021-05-22
牛前腱,37.00,37.00,37.00,牛肉类,斤,2021-05-22
牛后腱,37.00,37.00,37.00,牛肉类,斤,2021-05-22
牛前腿,35.00,35.00,35.00,牛肉类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
牛后腿,35.00,35.00,35.00,牛肉类,斤,2021-05-22
牛柳（里脊）,37.00,37.50,38.00,牛肉类,斤,2021-05-22
精牛柳,41.00,42.00,43.00,牛肉类,斤,2021-05-22
牛腩,35.00,35.50,36.00,牛肉类,斤,2021-05-22
牛林,35.00,35.50,36.00,牛肉类,斤,2021-05-22
牛骨,4.50,4.75,5.00,牛肉类,斤,2021-05-22
牛板筋,35.00,35.00,35.00,牛肉类,斤,2021-05-22
牛尾,33.00,34.00,35.00,牛肉类,斤,2021-05-22
牛上脑,35.00,35.00,35.00,牛肉类,斤,2021-05-22
整羊,28.00,28.50,29.00,羊肉类,斤,2021-05-22
去骨羊前腿,40.00,40.50,41.00,羊肉类,斤,2021-05-22
去骨羊后腿,41.00,41.50,42.00,羊肉类,斤,2021-05-22
羊腰窝,40.00,40.00,40.00,羊肉类,斤,2021-05-22
羊肉片,40.00,41.50,43.00,羊肉类,斤,2021-05-22
羊腰子（挂油）,15.00,15.50,16.00,羊肉类,个,2021-05-22
羊蝎子,16.00,16.50,17.00,羊肉类,斤,2021-05-22
羊蝎子（精品）,30.00,30.50,31.00,羊肉类,斤,2021-05-22
羊排骨,30.00,30.00,30.00,羊肉类,斤,2021-05-22
羊尾巴油,9.00,9.00,9.00,羊肉类,斤,2021-05-22
羊小腿（羊棒）,24.00,24.50,25.00,羊肉类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
羊上脑,40.00,40.00,40.00,羊肉类,斤,2021-05-22
羊骨头,10.00,10.00,10.00,羊肉类,斤,2021-05-22
羊腩,30.00,30.00,30.00,羊肉类,斤,2021-05-22
羊里脊,40.00,40.00,40.00,羊肉类,斤,2021-05-22
淘汰鸡（干净膛）,11.00,11.00,11.00,禽肉类,斤,2021-05-22
淘汰鸡（净膛）,10.00,10.00,10.00,禽肉类,斤,2021-05-22
仔鸡（净膛）,7.50,7.50,7.50,禽肉类,斤,2021-05-22
肉鸡,6.50,6.50,6.50,禽肉类,斤,2021-05-22
鸡胸,7.50,7.50,7.50,禽肉类,斤,2021-05-22
鸡翅,10.00,10.50,11.00,禽肉类,斤,2021-05-22
鸡翅中,21.00,21.00,21.00,禽肉类,斤,2021-05-22
鸡边腿,7.00,7.00,7.00,禽肉类,斤,2021-05-22
鸡排腿,7.50,7.50,7.50,禽肉类,斤,2021-05-22
鸡琵琶腿,7.50,7.75,8.00,禽肉类,斤,2021-05-22
鸡爪,16.00,16.00,16.00,禽肉类,斤,2021-05-22
鸡头,2.00,2.25,2.50,禽肉类,斤,2021-05-22
鸡架子,2.00,2.25,2.50,禽肉类,斤,2021-05-22
鸡翅根,9.00,9.00,9.00,禽肉类,斤,2021-05-22
白条乌鸡（净膛）,13.00,13.00,13.00,禽肉类,斤,2021-05-22
箱鸡蛋,190.00,192.50,195.00,蛋类,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
箱鸡蛋,4.32,4.38,4.43,蛋类,斤,2021-05-22
散鸡蛋,4.70,4.70,4.70,蛋类,斤,2021-05-22
生鸭蛋,5.50,6.00,6.50,蛋类,斤,2021-05-22
熟鸭蛋,6.00,6.75,7.50,蛋类,斤,2021-05-22
松花蛋,6.20,7.10,8.00,蛋类,斤,2021-05-22
鹅蛋,12.00,12.50,13.00,蛋类,斤,2021-05-22
鹌鹑蛋,6.00,6.50,7.00,蛋类,斤,2021-05-22
柴鸡蛋,4.80,7.40,10.00,蛋类,斤,2021-05-22
乌鸡蛋,7.50,8.00,8.50,蛋类,斤,2021-05-22
鸵鸟蛋,100.00,110.00,120.00,蛋类,斤,2021-05-22
鸽子蛋,2.50,2.55,2.60,蛋类,斤,2021-05-22
北豆腐（屉）,1.80,1.80,1.80,豆制品,斤,2021-05-22
南豆腐（屉）,2.00,2.00,2.00,豆制品,斤,2021-05-22
白玉北豆腐,4.00,4.00,4.00,豆制品,盒,2021-05-22
香香北豆腐,3.00,3.00,3.00,豆制品,盒,2021-05-22
白玉南豆腐,5.50,5.50,5.50,豆制品,盒,2021-05-22
豆腐丝,5.00,5.00,5.00,豆制品,斤,2021-05-22
精品豆腐丝,6.00,6.00,6.00,豆制品,袋,2021-05-22
豆腐皮,5.50,5.50,5.50,豆制品,斤,2021-05-22
豆腐干,4.50,4.50,4.50,豆制品,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
精品豆腐干,5.00,5.00,5.00,豆制品,袋,2021-05-22
豆腐泡,5.50,5.50,5.50,豆制品,斤,2021-05-22
精品豆腐泡,5.00,5.00,5.00,豆制品,袋,2021-05-22
白玉内酯豆腐,2.50,2.50,2.50,豆制品,盒,2021-05-22
香香内脂豆腐,1.50,1.50,1.50,豆制品,盒,2021-05-22
大白菜,0.30,0.35,0.40,储存\新,斤,2021-05-21
娃娃菜,0.50,0.55,0.60,大\小,斤,2021-05-21
小白菜,0.40,0.55,0.70,普通,斤,2021-05-21
芹菜,0.80,1.00,1.20,\冀,斤,2021-05-21
西芹,2.00,2.25,2.50,普通,斤,2021-05-21
菠菜,0.80,0.90,1.00,鲁\冀,斤,2021-05-21
莴笋,0.70,0.95,1.20,闽浙/鲁,斤,2021-05-21
团生菜,0.80,1.00,1.20,毛|净,斤,2021-05-21
圆白菜,0.40,0.50,0.60,\冀,斤,2021-05-21
紫甘蓝,1.00,1.10,1.20,闽云,斤,2021-05-21
散叶生菜,1.50,1.75,2.00,\京,斤,2021-05-21
油菜,0.80,1.10,1.40,鲁\京,斤,2021-05-21
香菜,1.00,1.20,1.40,鲁\冀,斤,2021-05-21
茴香,1.00,1.25,1.50,\冀,斤,2021-05-21
韭菜,0.80,0.90,1.00,普通,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
韭菜苔,2.80,3.15,3.50,普通,斤,2021-05-21
苦菊,1.00,1.25,1.50,辽,斤,2021-05-21
油麦菜,1.00,1.25,1.50,\京,斤,2021-05-21
散菜花,1.50,1.75,2.00,豫\苏,斤,2021-05-21
绿菜花,1.50,1.75,2.00,冀\ 苏陕,斤,2021-05-21
菜花,1.60,1.70,1.80,/云,斤,2021-05-21
绿豆芽,0.95,0.98,1.00,普通,斤,2021-05-21
黄豆芽,0.85,0.88,0.90,普通,斤,2021-05-21
紫菜苔,3.00,3.25,3.50,普通,斤,2021-05-21
番茄,1.00,1.35,1.70,川鲁蒙,斤,2021-05-21
番茄（精品）,1.80,2.00,2.20,\鲁新,斤,2021-05-21
樱西,4.00,4.50,5.00,小红,斤,2021-05-21
黄瓜,0.80,1.00,1.20,蒙辽袋\鲁,斤,2021-05-21
黄瓜(鲜干花),1.40,1.60,1.80,冀,斤,2021-05-21
小黄瓜,2.00,2.75,3.50,旱\荷兰,斤,2021-05-21
茄子,0.70,1.00,1.30,鲁\冀,斤,2021-05-21
长茄,0.80,1.00,1.20,云\冀,斤,2021-05-21
广茄,1.20,1.85,2.50,冀\一路,斤,2021-05-21
线茄,3.00,3.50,4.00,冀,斤,2021-05-21
吊冬瓜,0.55,0.65,0.75,桂,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
地冬瓜,0.45,0.48,0.50,普通,斤,2021-05-21
小毛冬瓜,0.60,0.90,1.20,冀\圆鲁新,斤,2021-05-21
架豆,2.50,2.75,3.00,普通,斤,2021-05-21
豆王,2.50,3.25,4.00,普通,斤,2021-05-21
扁豆,2.30,2.90,3.50,冀\鲁聊城,斤,2021-05-21
豇豆,2.50,3.25,4.00,桂\京冀,斤,2021-05-21
白不老,2.80,2.90,3.00,滇|鲁,斤,2021-05-21
锅里变架豆,1.50,1.75,2.00,普通,斤,2021-05-21
油豆,2.50,3.25,4.00,鲁,斤,2021-05-21
毛豆,2.50,3.00,3.50,普通,斤,2021-05-21
豌豆,1.00,1.15,1.30,普通,斤,2021-05-21
蚕豆,1.20,1.30,1.40,普通,斤,2021-05-21
荷兰豆,5.00,5.75,6.50,冀\云,斤,2021-05-21
玉米,1.50,1.70,1.90,\白,斤,2021-05-21
花生,4.50,5.00,5.50,广东\海南,斤,2021-05-21
苦瓜,1.80,1.90,2.00,鲁,斤,2021-05-21
丝瓜,1.40,1.50,1.60,豫\鲁,斤,2021-05-21
丝瓜,3.00,3.50,4.00,短,斤,2021-05-21
瓠子,1.60,1.80,2.00,普通,斤,2021-05-21
西葫芦,1.00,1.25,1.50,滇/鲁,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
佛手瓜,2.00,2.50,3.00,普通,斤,2021-05-21
金丝南瓜,0.70,0.85,1.00,琼,斤,2021-05-21
南北瓜,0.90,1.00,1.10,桂,斤,2021-05-21
尖椒,1.40,1.70,2.00,冀晋/鲁新,斤,2021-05-21
螺丝椒,2.00,2.20,2.40,普通,斤,2021-05-21
柿子椒,1.20,1.40,1.60,\鲁新,斤,2021-05-21
线椒,2.50,2.75,3.00,\鲁琼新,斤,2021-05-21
杭椒,2.50,2.75,3.00,普通,斤,2021-05-21
小米椒,3.00,4.00,5.00,滇,斤,2021-05-21
彩椒,4.50,5.00,5.50,红\黄,斤,2021-05-21
白萝卜,0.30,0.40,0.50,\冀,斤,2021-05-21
心里美,1.50,2.00,2.50,冀/新,斤,2021-05-21
卞萝卜,0.40,0.60,0.80,冀,斤,2021-05-21
青萝卜,1.00,1.15,1.30,冀\鲁新,斤,2021-05-21
胡萝卜,0.80,0.95,1.10,冀/鲁新,斤,2021-05-21
胡萝卜（洗）,0.80,1.00,1.20,冀/闽箱,斤,2021-05-21
小水萝卜,0.80,0.90,1.00,普通,斤,2021-05-21
土豆,0.40,0.60,0.80,\冀云,斤,2021-05-21
新土豆（黄心）,0.80,1.00,1.20,鲁,斤,2021-05-21
黄葱头,0.80,0.95,1.10,\蒙甘,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
红葱头,1.20,1.30,1.40,老/新,斤,2021-05-21
山药,1.80,2.25,2.70,脆\麻新,斤,2021-05-21
铁棍山药,5.00,5.50,6.00,普通,斤,2021-05-21
莲藕,2.50,3.50,4.50,\津,斤,2021-05-21
红薯,1.50,1.65,1.80,\冀新,斤,2021-05-21
红薯,1.80,2.00,2.20,西瓜红粤新,斤,2021-05-21
茭白,2.50,3.00,3.50,京\浙,斤,2021-05-21
凉薯,2.00,2.15,2.30,普通,斤,2021-05-21
荸荠,3.00,3.40,3.80,皖,斤,2021-05-21
芋头,1.70,1.85,2.00,\鲁,斤,2021-05-21
苇叶,3.40,3.45,3.50,普通,斤,2021-05-21
姜,3.00,4.00,5.00,姜头\整,斤,2021-05-21
大蒜,2.50,2.75,3.00,普通,斤,2021-05-21
新蒜,1.60,1.90,2.20,普通,斤,2021-05-21
蒜米,3.20,3.50,3.80,普通,斤,2021-05-21
大葱,1.50,2.50,3.50,鲁、冀、闽,斤,2021-05-21
小葱,1.00,1.25,1.50,普通,斤,2021-05-21
蒜苗,1.50,3.00,4.50,苏鲁,斤,2021-05-21
蒜黄,4.00,4.50,5.00,\冀,斤,2021-05-21
青蒜,1.60,2.00,2.40,冀,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
平菇,2.00,2.50,3.00,\小叶,斤,2021-05-21
香菇,3.00,3.50,4.00,普通,斤,2021-05-21
白玉菇,3.00,3.50,4.00,普通,斤,2021-05-21
口蘑,7.00,7.50,8.00,普通,斤,2021-05-21
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-05-21
金针菇,1.50,2.00,2.50,普通,斤,2021-05-21
油菜,1.00,1.25,1.50,水菜,斤,2021-05-21
小白菜,1.50,1.75,2.00,水菜,斤,2021-05-21
油麦菜,1.00,1.25,1.50,水菜,斤,2021-05-21
奶白菜,3.00,3.25,3.50,水菜,斤,2021-05-21
散生菜,1.50,2.00,2.50,水菜,斤,2021-05-21
香葱,3.50,3.75,4.00,水菜,斤,2021-05-21
茼蒿,2.50,2.75,3.00,水菜,斤,2021-05-21
蒿子秆,3.50,3.75,4.00,水菜,斤,2021-05-21
水萝卜,1.50,1.75,2.00,水菜,斤,2021-05-21
樱桃萝卜,2.00,2.25,2.50,水菜,斤,2021-05-21
香芹,1.50,1.75,2.00,水菜,斤,2021-05-21
菠菜,3.50,3.75,4.00,水菜,斤,2021-05-21
苋菜,1.50,1.75,2.00,水菜,斤,2021-05-21
菊花菜,1.00,1.25,1.50,水菜,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
青蒜,1.50,1.75,2.00,水菜,斤,2021-05-21
盖菜,1.50,2.00,2.50,水菜,斤,2021-05-21
芥兰,1.50,1.75,2.00,水菜,斤,2021-05-21
菜心,2.00,2.25,2.50,水菜,斤,2021-05-21
空心菜,2.00,2.25,2.50,水菜,斤,2021-05-21
鸡毛菜,2.50,2.75,3.00,水菜,斤,2021-05-21
荠菜,4.00,4.25,4.50,水菜,斤,2021-05-21
荆芥,2.00,2.50,3.00,水菜,斤,2021-05-21
紫苏叶,4.50,4.75,5.00,水菜,斤,2021-05-21
豌豆苗,4.00,4.25,4.50,水菜,斤,2021-05-21
快菜,0.80,1.00,1.20,水菜,斤,2021-05-21
苦菊,2.00,2.25,2.50,水菜,斤,2021-05-21
穿心莲,2.00,2.25,2.50,水菜,斤,2021-05-21
木耳菜,2.00,2.50,3.00,水菜,斤,2021-05-21
乒乓球葡萄,10.00,11.00,12.00,葡萄类,斤,2021-05-21
维多利亚葡萄,8.00,8.50,9.00,葡萄类,斤,2021-05-21
郁金香,10.00,11.00,12.00,葡萄类,斤,2021-05-21
台农小芒果,2.50,3.25,4.00,芒果类,斤,2021-05-21
台农大芒果,3.00,4.00,5.00,芒果类,斤,2021-05-21
红金龙,4.00,5.00,6.00,芒果类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
高乐密,2.50,3.75,5.00,芒果类,斤,2021-05-21
青皮芒果,2.50,3.25,4.00,芒果类,斤,2021-05-21
水仙芒果,3.50,4.75,6.00,芒果类,斤,2021-05-21
肯特\新世纪\澳芒,5.00,6.50,8.00,芒果类,斤,2021-05-21
妃子笑,7.00,8.50,10.00,荔枝类,斤,2021-05-21
荔枝王,33.00,34.50,36.00,荔枝类,斤,2021-05-21
红灯,17.00,17.50,18.00,樱桃类,斤,2021-05-21
水晶,25.00,27.50,30.00,樱桃类,斤,2021-05-21
佳红,70.00,105.00,140.00,樱桃类,斤,2021-05-21
美早,20.00,35.00,50.00,樱桃类,斤,2021-05-21
布鲁克斯,15.00,17.50,20.00,樱桃类,斤,2021-05-21
先锋樱桃,15.00,18.50,22.00,樱桃类,斤,2021-05-21
沙蜜托,20.00,22.50,25.00,樱桃类,斤,2021-05-21
椰青/个,6.00,6.25,6.50,其他类,斤,2021-05-21
箱装菠萝（上六下六）,1.40,1.60,1.80,其他类,斤,2021-05-21
国产凤梨,2.00,2.40,2.80,其他类,斤,2021-05-21
香水菠萝,3.00,3.25,3.50,其他类,斤,2021-05-21
百香果,12.00,12.50,13.00,其他类,斤,2021-05-21
桑葚,3.50,4.00,4.50,其他类,斤,2021-05-21
白草莓（日本淡雪）,12.00,14.00,16.00,其他类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
红颜九九草莓,8.00,10.00,12.00,其他类,斤,2021-05-21
杨梅,10.00,11.00,12.00,其他类,斤,2021-05-21
甜宝(奶油)草莓,4.00,5.50,7.00,其他类,斤,2021-05-21
火龙果,4.00,5.75,7.50,其他类,斤,2021-05-21
木瓜,3.00,3.25,3.50,其他类,斤,2021-05-21
柿饼,6.00,7.00,8.00,其他类,斤,2021-05-21
甘蔗,1.20,1.35,1.50,其他类,斤,2021-05-21
柠檬,3.50,3.75,4.00,其他类,斤,2021-05-21
黑枣,5.00,5.50,6.00,其他类,斤,2021-05-21
山楂,4.00,5.00,6.00,其他类,斤,2021-05-21
姑娘果（灯笼果）,10.00,15.00,20.00,其他类,斤,2021-05-21
鸭梨,1.20,1.35,1.50,梨类,斤,2021-05-21
