品名,最低价,平均价,最高价,规格,单位,发布日期
黄葱头,0.80,0.90,1.00,\蒙甘,斤,2021-05-23
红葱头,1.10,1.20,1.30,老/新,斤,2021-05-23
山药,1.80,2.25,2.70,脆\麻新,斤,2021-05-23
铁棍山药,5.00,5.50,6.00,\,斤,2021-05-23
莲藕,2.50,3.50,4.50,\津,斤,2021-05-23
红薯,1.00,1.25,1.50,\冀新,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
红薯,1.80,2.00,2.20,西瓜红粤新,斤,2021-05-23
茭白,2.50,3.25,4.00,京\浙,斤,2021-05-23
凉薯,2.00,2.15,2.30,普通,斤,2021-05-23
荸荠,3.00,3.40,3.80,皖,斤,2021-05-23
芋头,1.70,1.85,2.00,\鲁,斤,2021-05-23
苇叶,3.40,3.45,3.50,普通,斤,2021-05-23
姜,3.00,4.00,5.00,姜头\整,斤,2021-05-23
大蒜,2.50,2.75,3.00,普通,斤,2021-05-23
新蒜,1.70,2.00,2.30,普通,斤,2021-05-23
蒜米,3.20,3.50,3.80,普通,斤,2021-05-23
大葱,1.50,2.50,3.50,鲁、冀、闽,斤,2021-05-23
小葱,1.00,1.25,1.50,普通,斤,2021-05-23
蒜苗,1.50,3.00,4.50,苏鲁,斤,2021-05-23
蒜黄,4.00,4.50,5.00,\冀,斤,2021-05-23
青蒜,1.80,2.20,2.60,冀,斤,2021-05-23
平菇,2.00,2.75,3.50,\小叶,斤,2021-05-23
香菇,3.00,3.50,4.00,普通,斤,2021-05-23
白玉菇,3.00,3.50,4.00,普通,斤,2021-05-23
口蘑,7.00,7.50,8.00,普通,斤,2021-05-23
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
金针菇,1.50,2.00,2.50,普通,斤,2021-05-23
椰青/个,6.00,6.25,6.50,其他类,斤,2021-05-23
箱装菠萝（上六下六）,1.40,1.60,1.80,其他类,斤,2021-05-23
国产凤梨,2.00,2.40,2.80,其他类,斤,2021-05-23
香水菠萝,3.00,3.25,3.50,其他类,斤,2021-05-23
百香果,12.00,12.50,13.00,其他类,斤,2021-05-23
桑葚,3.50,4.00,4.50,其他类,斤,2021-05-23
白草莓（日本淡雪）,12.00,14.00,16.00,其他类,斤,2021-05-23
红颜九九草莓,8.00,9.00,10.00,其他类,斤,2021-05-23
杨梅,10.00,11.00,12.00,其他类,斤,2021-05-23
甜宝(奶油)草莓,4.00,5.50,7.00,其他类,斤,2021-05-23
