金太阳,1.50,2.00,2.50,桃李杏类,斤,2021-05-31
丰源红,2.00,2.50,3.00,桃李杏类,斤,2021-05-31
凯特杏、白杏,9.00,10.00,11.00,桃李杏类,斤,2021-05-31
无籽小号-大号,1.80,1.90,2.00,西瓜类,斤,2021-05-31
麒麟、甜蜜蜜,1.80,2.10,2.40,西瓜类,斤,2021-05-31
黑美人,1.60,1.80,2.00,西瓜类,斤,2021-05-31
特小风,2.00,2.25,2.50,西瓜类,斤,2021-05-31
L600吊秧瓜,2.00,2.50,3.00,西瓜类,斤,2021-05-31
甜王,1.20,1.40,1.60,西瓜类,斤,2021-05-31
蜜童,2.00,2.15,2.30,西瓜类,斤,2021-05-31
墨童西瓜,2.00,2.15,2.30,西瓜类,斤,2021-05-31
绿宝（p2）,1.80,1.90,2.00,西瓜类,斤,2021-05-31
国产香蕉,2.20,2.60,3.00,香蕉类,斤,2021-05-31
南美、菲律宾香蕉,2.50,3.00,3.50,香蕉类,斤,2021-05-31
泰国香蕉（帝王蕉）,8.00,8.50,9.00,香蕉类,斤,2021-05-31
大白菜,0.30,0.35,0.40,储存新,斤,2021-05-31
娃娃菜,0.60,0.70,0.80,大小,斤,2021-05-31
小白菜,0.60,0.65,0.70,普通,斤,2021-05-31
芹菜,0.70,0.85,1.00,冀,斤,2021-05-31
西芹,1.80,2.00,2.20,普通,斤,2021-05-31
菠菜,2.00,2.25,2.50,鲁冀,斤,2021-05-31
莴笋,1.40,1.70,2.00,闽浙鲁,斤,2021-05-31
团生菜,0.80,0.90,1.00,毛|净,斤,2021-05-31
圆白菜,0.40,0.45,0.50,冀,斤,2021-05-31
紫甘蓝,0.70,0.75,0.80,闽云,斤,2021-05-31
散叶生菜,1.00,1.40,1.80,京,斤,2021-05-31
油菜,0.80,1.10,1.40,鲁京,斤,2021-05-31
香菜,1.00,1.25,1.50,鲁冀,斤,2021-05-31
茴香,1.00,1.15,1.30,冀,斤,2021-05-31
韭菜,0.80,1.00,1.20,普通,斤,2021-05-31
韭菜苔,3.50,3.65,3.80,普通,斤,2021-05-31
苦菊,1.00,1.15,1.30,辽,斤,2021-05-31
油麦菜,1.20,1.35,1.50,京,斤,2021-05-31
散菜花,1.00,1.25,1.50,豫苏,斤,2021-05-31
绿菜花,1.50,1.75,2.00,冀 苏陕,斤,2021-05-31
秋葵,6.50,7.00,7.50,特菜,斤,2021-05-31
甜豆,7.00,7.50,8.00,特菜,斤,2021-05-31
龙豆,24.00,24.50,25.00,特菜,斤,2021-05-31
凉瓜,5.50,6.00,6.50,特菜,斤,2021-05-31
银芽,5.00,5.50,6.00,特菜,斤,2021-05-31
南姜,6.00,6.50,7.00,特菜,斤,2021-05-31
沙葁,7.00,7.50,8.00,特菜,斤,2021-05-31
苤蓝,2.00,2.25,2.50,特菜,斤,2021-05-31
南瓜,1.80,1.90,2.00,特菜,斤,2021-05-31
番杏,6.00,6.50,7.00,特菜,斤,2021-05-31
夹豆,7.00,7.50,8.00,特菜,斤,2021-05-31
荔浦芋头,7.50,8.00,8.50,特菜,斤,2021-05-31
香芋头,7.00,7.50,8.00,特菜,斤,2021-05-31
黄花菜,13.00,13.50,14.00,特菜,斤,2021-05-31
鲜竹笋,6.00,6.50,7.00,特菜,斤,2021-05-31
紫菜头,3.00,3.25,3.50,特菜,斤,2021-05-31
紫豇豆,18.00,18.50,19.00,特菜,斤,2021-05-31
仙人掌,6.00,6.25,6.50,特菜,斤,2021-05-31
干葱头,2.50,2.75,3.00,特菜,斤,2021-05-31
西洋菜,6.00,6.25,6.50,特菜,斤,2021-05-31
红颜九九草莓,7.00,8.00,9.00,其他类,斤,2021-05-29
杨梅,8.00,10.00,12.00,其他类,斤,2021-05-29
火龙果,4.00,5.50,7.00,其他类,斤,2021-05-29
木瓜,3.00,3.25,3.50,其他类,斤,2021-05-29
柿饼,6.00,7.00,8.00,其他类,斤,2021-05-29
柠檬,3.50,3.75,4.00,其他类,斤,2021-05-29
黑枣,5.00,5.50,6.00,其他类,斤,2021-05-29
山楂,4.00,5.00,6.00,其他类,斤,2021-05-29
姑娘果（灯笼果）,10.00,15.00,20.00,其他类,斤,2021-05-29
鸭梨,1.20,1.35,1.50,梨类,斤,2021-05-29
雪花梨,1.40,1.50,1.60,梨类,斤,2021-05-29
皇冠梨（标箱）,2.50,2.75,3.00,梨类,斤,2021-05-29
