环境科学与工程类,2,409,2,4,-,包含专业：环境科学、环境工程、环境生态工程
自然保护与环境生态类,2,447,2,4,-,包含专业：园林、林学、水土保持与荒漠化防治
植物生产类（C）,3,427,3,4,-,包含专业：园艺、设施农业科学与工程、茶学
动物科学,6,432,6,4,-,-
食品科学与工程类,4,443,4,4,-,包含专业：食品科学与工程、食品质量与安全、葡萄与葡萄酒工程
生物科学类,2,445,2,4,-,包含专业：生物技术、生物科学
公共管理类,2,451,2,4,-,包含专业：行政管理、城市管理、文化产业管理
中药资源与开发,2,421,2,4,-,-
制药工程,2,427,2,4,-,-
生态学,2,445,2,4,-,-
