生物工程,1,462,2,4,4600,色盲、色弱限报
应用化学,1,478,1,4,4600,色盲、色弱限报
食品科学与工程（中外合作办学）,1,450,1,4,-,色盲、色弱限报。中英合作办学专业，“3+1”培养模式，专业课为英文授课，国内学费3.6万元/年，国外学费按照英国当年标准收取。
农业资源与环境（中外合作办学）,1,450,0,4,-,色盲、色弱限报。中澳合作办学专业，“3+1”培养模式，专业课为英文授课，国内学费3.6万元/年，国外学费按照澳大利亚当年标准收取。
