临床医学,8,489,10,5,-,-
预防医学,4,449,4,5,-,-
生物技术,2,388,0,4,-,-
统计学,2,388,1,4,-,-
中药学,2,432,2,4,-,-
眼视光学,2,448,3,4,-,-
假肢矫形工程,2,388,0,4,-,-
生物制药,2,417,2,4,-,-
中医学,2,473,3,5,-,-
医学影像技术,2,461,3,4,-,-
